OID_,UID,address,city,state,zip5,lon,lat,Block
1,51444177,64A PRINCE ST APT 1,BOSTON,MA,2113,-71.054636000000002,42.364699999999999,250250304002000.000000000000000
2,51968623,36 PRINCE ST,BOSTON,MA,2113,-71.054670000000002,42.364600000000003,250250304002000.000000000000000
3,52723553,32 PRINCE ST,BOSTON,MA,2113,-71.054540000000003,42.364420000000003,250250304002000.000000000000000
4,52759843,40 PRINCE ST,BOSTON,MA,2113,-71.054659999999998,42.364629999999998,250250304002000.000000000000000
5,52929644,60 PRINCE ST APT 3,BOSTON,MA,2113,-71.055269999999993,42.364980000000003,250250304002000.000000000000000
6,52929645,60 PRINCE ST APT 4,BOSTON,MA,2113,-71.055269999999993,42.364980000000003,250250304002000.000000000000000
7,52929646,60 PRINCE ST APT 6,BOSTON,MA,2113,-71.055269999999993,42.364980000000003,250250304002000.000000000000000
8,52929647,60 PRINCE ST APT 2G,BOSTON,MA,2113,-71.055269999999993,42.364980000000003,250250304002000.000000000000000
9,52929648,60 PRINCE ST APT 2,BOSTON,MA,2113,-71.055269999999993,42.364980000000003,250250304002000.000000000000000
10,52929649,60 PRINCE ST APT 3G,BOSTON,MA,2113,-71.055269999999993,42.364980000000003,250250304002000.000000000000000
11,52929657,60 PRINCE ST APT 13,BOSTON,MA,2113,-71.055269999999993,42.364980000000003,250250304002000.000000000000000
12,52929658,60 PRINCE ST APT 12,BOSTON,MA,2113,-71.055269999999993,42.364980000000003,250250304002000.000000000000000
13,52929659,60 PRINCE ST APT 11,BOSTON,MA,2113,-71.055269999999993,42.364980000000003,250250304002000.000000000000000
14,52962312,50 PRINCE ST APT 2,BOSTON,MA,2113,-71.054987999999994,42.364820000000002,250250304002000.000000000000000
15,52962320,50 PRINCE ST APT 6,BOSTON,MA,2113,-71.054987999999994,42.364820000000002,250250304002000.000000000000000
16,52962321,50 PRINCE ST APT 4,BOSTON,MA,2113,-71.054987999999994,42.364820000000002,250250304002000.000000000000000
17,52962322,50 PRINCE ST APT 1,BOSTON,MA,2113,-71.054987999999994,42.364820000000002,250250304002000.000000000000000
18,52962323,50 PRINCE ST APT 3,BOSTON,MA,2113,-71.054987999999994,42.364820000000002,250250304002000.000000000000000
19,52962324,50 PRINCE ST APT 5,BOSTON,MA,2113,-71.054987999999994,42.364820000000002,250250304002000.000000000000000
20,52995146,135 SALEM ST APT 6,BOSTON,MA,2113,-71.055329999999998,42.364860000000000,250250304002000.000000000000000
21,52995147,135 SALEM ST APT 5,BOSTON,MA,2113,-71.055329999999998,42.364860000000000,250250304002000.000000000000000
22,52995148,135 SALEM ST APT 4,BOSTON,MA,2113,-71.055329999999998,42.364860000000000,250250304002000.000000000000000
23,52995149,135 SALEM ST APT C1,BOSTON,MA,2113,-71.055329999999998,42.364860000000000,250250304002000.000000000000000
24,53025685,58 PRINCE ST APT 5,BOSTON,MA,2113,-71.055229999999995,42.364950000000000,250250304002000.000000000000000
25,53025686,58 PRINCE ST APT 1,BOSTON,MA,2113,-71.055229999999995,42.364950000000000,250250304002000.000000000000000
26,53025687,58 PRINCE ST APT 1F,BOSTON,MA,2113,-71.055229999999995,42.364950000000000,250250304002000.000000000000000
27,53090350,139 SALEM ST APT 5,BOSTON,MA,2113,-71.055359999999993,42.365029999999997,250250304002000.000000000000000
28,53090360,139 SALEM ST APT 4,BOSTON,MA,2113,-71.055359999999993,42.365029999999997,250250304002000.000000000000000
29,53187601,137 SALEM ST APT 1,BOSTON,MA,2113,-71.055319999999995,42.364919999999998,250250304002000.000000000000000
30,53187615,137 SALEM ST APT 3,BOSTON,MA,2113,-71.055319999999995,42.364919999999998,250250304002000.000000000000000
31,53187616,137 SALEM ST APT 2,BOSTON,MA,2113,-71.055319999999995,42.364919999999998,250250304002000.000000000000000
32,53195938,44 PRINCE ST APT 512,BOSTON,MA,2113,-71.054879999999997,42.364730000000002,250250304002000.000000000000000
33,53195939,44 PRINCE ST APT 511,BOSTON,MA,2113,-71.054879999999997,42.364730000000002,250250304002000.000000000000000
34,53195940,44 PRINCE ST APT 508,BOSTON,MA,2113,-71.054879999999997,42.364730000000002,250250304002000.000000000000000
35,53198446,115 SALEM ST APT 13,BOSTON,MA,2113,-71.055350000000004,42.364429999999999,250250304002000.000000000000000
36,53198447,115 SALEM ST APT 11,BOSTON,MA,2113,-71.055350000000004,42.364429999999999,250250304002000.000000000000000
37,53198448,115 SALEM ST APT 9,BOSTON,MA,2113,-71.055350000000004,42.364429999999999,250250304002000.000000000000000
38,53198449,115 SALEM ST APT 8,BOSTON,MA,2113,-71.055350000000004,42.364429999999999,250250304002000.000000000000000
39,53198450,115 SALEM ST APT 6,BOSTON,MA,2113,-71.055350000000004,42.364429999999999,250250304002000.000000000000000
40,53198451,115 SALEM ST APT 12,BOSTON,MA,2113,-71.055350000000004,42.364429999999999,250250304002000.000000000000000
41,53203476,56 PRINCE ST APT 1,BOSTON,MA,2113,-71.055179999999993,42.364919999999998,250250304002000.000000000000000
42,53203482,56 PRINCE ST APT 8,BOSTON,MA,2113,-71.055179999999993,42.364919999999998,250250304002000.000000000000000
43,53203483,56 PRINCE ST APT 7,BOSTON,MA,2113,-71.055179999999993,42.364919999999998,250250304002000.000000000000000
44,53203484,56 PRINCE ST APT 6,BOSTON,MA,2113,-71.055179999999993,42.364919999999998,250250304002000.000000000000000
45,53203485,56 PRINCE ST APT 5,BOSTON,MA,2113,-71.055179999999993,42.364919999999998,250250304002000.000000000000000
