lon,lat
-83.713922,30.786494
-83.714055,30.862591
-83.715017,30.784923
-83.715108,30.806862
-83.715121,30.806942
-83.71542,30.83027
-83.716814,30.807185
-83.716842,30.825463
-83.71729,30.81199
-83.717383,30.811496
-83.717389,30.811077
-83.717407,30.787779
-83.717457,30.809295
-83.71759,30.82597
-83.71835,30.82248
-83.718534,30.793266
-83.71925,30.86354
-83.71936,30.84696
-83.72312,30.85921
-83.72323,30.83383
-83.72342,30.84858
-83.723427,30.857861
-83.724325,30.825012
-83.72449,30.8621
-83.72461,30.84847
-83.72478,30.84729
-83.724906,30.863328
-83.724916,30.811561
-83.725016,30.782155
-83.72505,30.8122
-83.72506,30.82511
-83.72514,30.83738
-83.72527,30.8557
-83.72577,30.86407
-83.72594,30.83993
-83.726115,30.850277
-83.72637,30.83848
-83.72647,30.87349
-83.72651,30.85907
-83.7271,30.780989
-83.72758,30.7217
-83.729599,30.819159
-83.729672,30.726074
-83.72991,30.848754
-83.730181,30.849824
-83.73019,30.83529
-83.730289,30.84538
-83.731257,30.848514
-83.731372,30.81
-83.731755,30.851071
-83.732488,30.882267
-83.73318,30.85177
-83.733258,30.849938
-83.733832,30.885293
-83.73431,30.83488
-83.735189,30.733151
-83.73596,30.86659
-83.7361,30.72676
-83.73645,30.793671
-83.736548,30.793869
-83.736715,30.85164
-83.73739,30.73465
-83.737443,30.847329
-83.737952,30.83488
-83.73799,30.83734
-83.738106,30.837761
-83.738111,30.851621
-83.738264,30.849004
-83.738624,30.842164
-83.739493,30.838702
-83.73957,30.83671
-83.739621,30.844058
-83.739897,30.849055
-83.74013,30.8482
-83.740301,30.833031
-83.74056,30.84974
-83.74084,30.87338
-83.74098,30.7978
-83.741184,30.848458
-83.74129,30.87181
-83.74186,30.84179
-83.742284,30.846826
-83.74251,30.74235
-83.74273,30.85161
-83.742933,30.871064
-83.74301,30.87183
-83.74342,30.74503
-83.74365,30.74334
-83.74374,30.87081
-83.74395,30.83761
-83.74402,30.74372
-83.74434,30.84819
-83.74451,30.83765
-83.74457,30.87227
-83.74475,30.74443
-83.7451,30.84646
-83.74553,30.87002
-83.74566,30.79779
-83.74572,30.76295
-83.74573,30.76241
-83.74573,30.76432
-83.74574,30.74533
-83.74574,30.76176
-83.74576,30.76644
-83.74589,30.83782
-83.746049,30.838231
-83.746178,30.745275
-83.74629,30.76537
-83.74648,30.87151
-83.74693,30.858745
-83.74698,30.83704
-83.74702,30.8462
-83.74707,30.74587
-83.74716,30.88857
-83.747356,30.865574
-83.74738,30.75528
-83.748159,30.858952
-83.748377,30.87406
-83.74854,30.7667
-83.74858,30.76322
-83.748628,30.794747
-83.74863,30.74048
-83.74927,30.8421
-83.749427,30.748074
-83.75017,30.83647
-83.75018,30.83815
-83.75019,30.83585
-83.75022,30.83761
-83.750269,30.903049
-83.750363,30.86697
-83.750549,30.835711
-83.75063,30.74479
-83.75076,30.75148
-83.75091,30.83641
-83.75127,30.89106
-83.751526,30.870096
-83.75197,30.74629
-83.75221,30.76472
-83.75234,30.84595
-83.752633,30.856377
-83.75278,30.78015
-83.75278,30.88837
-83.75286,30.88751
-83.75296,30.74987
-83.75315,30.75079
-83.75331,30.88687
-83.75352,30.88741
-83.75376,30.88813
-83.753854,30.887666
-83.754033,30.798281
-83.75408,30.80947
-83.75411,30.74739
-83.75413,30.74423
-83.754,30.752719
-83.75431,30.83811
-83.7543,30.74905
-83.75487,30.75329
-83.75489,30.75063
-83.75505,30.83795
-83.75521,30.75538
-83.7553,30.75241
-83.755723,30.904127
-83.755779,30.849342
-83.75585,30.90728
-83.75604,30.847331
-83.756086,30.904248
-83.75645,30.75456
-83.756601,30.844621
-83.75689,30.871489
-83.756919,30.848434
-83.758167,30.841412
-83.758539,30.842141
-83.75895,30.84615
-83.759196,30.841828
-83.75922,30.84769
-83.75941,30.88301
-83.759723,30.840841
-83.759726,30.83923
-83.759871,30.833937
-83.76016,30.74137
-83.76048,30.802864
-83.76049,30.83783
-83.76049,30.83784
-83.760655,30.842364
-83.761294,30.837645
-83.76152,30.85096
-83.76165,30.84504
-83.761731,30.759873
-83.76176,30.76077
-83.762345,30.811183
-83.762362,30.884691
-83.762457,30.884871
-83.763243,30.83611
-83.76332,30.757
-83.76339,30.75991
-83.763453,30.884493
-83.76353,30.75826
-83.76366,30.85639
-83.763708,30.809521
-83.763721,30.836855
-83.76376,30.75931
-83.76388,30.6917
-83.764358,30.755454
-83.764708,30.755208
-83.764743,30.858661
-83.7648,30.88334
-83.76511,30.75509
-83.765245,30.80929
-83.76565,30.80809
-83.76579,30.91323
-83.765845,30.855259
-83.765862,30.808804
-83.76586,30.8089
-83.766228,30.833207
-83.76669,30.85301
-83.767178,30.808207
-83.76718,30.80821
-83.76753,30.76335
-83.768175,30.758356
-83.76838,30.74939
-83.768901,30.75505
-83.769259,30.798668
-83.76955,30.74886
-83.76974,30.74847
-83.77041,30.75445
-83.770463,30.754113
-83.770546,30.755042
-83.770626,30.820816
-83.77121,30.79011
-83.77199,30.74982
-83.772042,30.850891
-83.772209,30.822514
-83.77282,30.74878
-83.773009,30.828193
-83.773038,30.827621
-83.774838,30.826669
-83.77522,30.88788
-83.77526,30.86175
-83.775753,30.812788
-83.775806,30.87648
-83.77581,30.87648
-83.77585,30.77092
-83.7761,30.7873
-83.77613,30.90917
-83.77655,30.79141
-83.776768,30.901012
-83.77686,30.87873
-83.77695,30.7904
-83.77696,30.87256
-83.77725,30.89313
-83.77735,30.90977
-83.77784,30.89621
-83.77824,30.74853
-83.77846,30.80735
-83.77852,30.79153
-83.77909,30.87855
-83.77911,30.77915
-83.77916,30.75461
-83.77917,30.75462
-83.77932,30.79296
-83.77933,30.83035
-83.77967,30.85308
-83.779723,30.815905
-83.77991,30.87905
-83.7802,30.79003
-83.78036,30.80846
-83.78038,30.79294
-83.78041,30.80954
-83.780511,30.816589
-83.78053,30.8729
-83.78069,30.79298
-83.7809,30.79185
-83.7809,30.81623
-83.78118,30.90834
-83.781265,30.788552
-83.78133,30.79743
-83.78134,30.7977
-83.78134,30.79818
-83.78134,30.79839
-83.78134,30.79867
-83.78135,30.79888
-83.78154,30.79013
-83.78165,30.78752
-83.78165,30.78842
-83.78181,30.79769
-83.78182,30.79855
-83.78196,30.74902
-83.782164,30.80043
-83.78217,30.78514
-83.782251,30.910688
-83.78246,30.81317
-83.78247,30.79894
-83.78254,30.79207
-83.78275,30.80854
-83.78283,30.79322
-83.7829,30.78826
-83.78293,30.78799
-83.782937,30.760304
-83.78,30.79282
-83.78313,30.79193
-83.78335,30.79118
-83.78342,30.80969
-83.78346,30.81011
-83.78352,30.78415
-83.78366,30.76894
-83.7837,30.79211
-83.78375,30.794585
-83.7839,30.79087
-83.783941,30.890247
-83.783946,30.83675
-83.78395,30.7809
-83.78399,30.81709
-83.78407,30.79215
-83.784187,30.763247
-83.78419,30.78872
-83.78421,30.79125
-83.78428,30.80182
-83.78429,30.80931
-83.78441,30.77015
-83.78441,30.78726
-83.78441,30.83724
-83.78444,30.81039
-83.78445,30.80975
-83.78453,30.79134
-83.78457,30.77488
-83.78459,30.78935
-83.784634,30.79461
-83.78465,30.77586
-83.78465,30.91216
-83.78468,30.77378
-83.7847,30.7868
-83.78473,30.82078
-83.78474,30.8525
-83.78477,30.79137
-83.78488,30.82942
-83.78495,30.84699
-83.78497,30.84799
-83.78503,30.79863
-83.78507,30.79235
-83.78523,30.774269
-83.78524,30.79191
-83.785245,30.79978
-83.78529,30.78745
-83.785298,30.796501
-83.785342,30.796178
-83.78535,30.79107
-83.78543,30.72363
-83.78543,30.79026
-83.785492,30.801867
-83.78549,30.81989
-83.7856,30.79205
-83.7856,30.79548
-83.78564,30.89623
-83.78568,30.77604
-83.78578,30.79872
-83.78581,30.75664
-83.78581,30.79745
-83.78592,30.91489
-83.78595,30.76277
-83.78604,30.78898
-83.78612,30.78517
-83.78616,30.81924
-83.78624,30.79062
-83.78627,30.85414
-83.7863,30.78957
-83.78633,30.78588
-83.78635,30.88577
-83.78637,30.78901
-83.7864,30.78434
-83.7864,30.79632
-83.78647,30.79934
-83.78675,30.79714
-83.78678,30.79518
-83.78681,30.78947
-83.78687,30.78905
-83.78688,30.78275
-83.78688,30.78818
-83.78692,30.87683
-83.78694,30.78976
-83.78707,30.79802
-83.78708,30.91342
-83.78719,30.85364
-83.78738,30.79048
-83.787402,30.784257
-83.78743,30.78645
-83.78745,30.79613
-83.78748,30.91582
-83.7876,30.78916
-83.78771,30.76466
-83.7877,30.7992
-83.78782,30.78769
-83.78783,30.78975
-83.78784,30.7916
-83.78793,30.788
-83.78793,30.78845
-83.78799,30.79939
-83.78802,30.78708
-83.78808,30.79915
-83.78811,30.79125
-83.78813,30.78971
-83.78815,30.78773
-83.7883,30.79099
-83.78841,30.78914
-83.78845,30.78986
-83.78856,30.88134
-83.78858,30.78807
-83.78862,30.78778
-83.7886,30.78864
-83.78871,30.78714
-83.788733,30.901896
-83.78875,30.79687
-83.78882,30.78528
-83.78886,30.79153
-83.78888,30.78445
-83.78889,30.8555
-83.78891,30.79831
-83.78894,30.79049
-83.78905,30.79083
-83.78917,30.79708
-83.78917,30.7975
-83.7892,30.79608
-83.78925,30.78947
-83.78926,30.79052
-83.78926,30.84981
-83.78929,30.78918
-83.789,30.7912
-83.789386,30.785991
-83.78946,30.78813
-83.78946,30.89826
-83.7895,30.78785
-83.78955,30.78721
-83.78964,30.78644
-83.78964,30.90172
-83.78967,30.78555
-83.78967,30.786
-83.78967,30.91246
-83.789808,30.791701
-83.7898,30.78419
-83.7898,30.875144
-83.789918,30.895687
-83.79013,30.89742
-83.79015,30.78791
-83.79018,30.79552
-83.79019,30.79533
-83.79022,30.79818
-83.79028,30.90276
-83.79029,30.78662
-83.79035,30.78741
-83.79039,30.7871
-83.79041,30.79402
-83.79041,30.79648
-83.79071,30.7906
-83.790768,30.796599
-83.79081,30.79754
-83.79081,30.85719
-83.7909,30.78856
-83.79095,30.78827
-83.79111,30.79169
-83.7911,30.8922
-83.79113,30.79135
-83.79118,30.78888
-83.79119,30.78657
-83.79125,30.79063
-83.79128,30.78534
-83.791,30.78798
-83.79138,30.78467
-83.791471,30.794614
-83.79148,30.78407
-83.79157,30.78831
-83.79159,30.78341
-83.79162,30.79748
-83.7916,30.89156
-83.79165,30.90005
-83.79167,30.78286
-83.79174,30.78612
-83.79182,30.78668
-83.7918,30.79114
-83.79188,30.87842
-83.79192,30.79279
-83.79194,30.78583
-83.79198,30.78554
-83.79201,30.91244
-83.79202,30.78522
-83.79206,30.78612
-83.79208,30.784781
-83.79211,30.88827
-83.79212,30.77188
-83.7921,30.7908
-83.79216,30.79039
-83.79216,30.84274
-83.792193,30.784043
-83.79222,30.79007
-83.79225,30.78978
-83.792311,30.91098
-83.79248,30.78766
-83.79248,30.910983
-83.79253,30.78817
-83.79258,30.78199
-83.79258,30.78712
