lon,lat,count
-83.713922,30.786494,1
-83.714055,30.862591,1
-83.715017,30.784923,1
-83.715108,30.806862,1
-83.715121,30.806942,1
-83.71542,30.83027,1
-83.716814,30.807185,1
-83.716842,30.825463,1
-83.71729,30.81199,1
-83.717383,30.811496,1
-83.717389,30.811077,1
-83.717407,30.787779,1
-83.717457,30.809295,1
-83.71759,30.82597,1
-83.71835,30.82248,1
-83.718534,30.793266,1
-83.71925,30.86354,1
-83.71936,30.84696,1
-83.72312,30.85921,1
-83.72323,30.83383,1
-83.72342,30.84858,1
-83.723427,30.857861,1
-83.724325,30.825012,1
-83.72449,30.8621,1
-83.72461,30.84847,1
-83.72478,30.84729,1
-83.724906,30.863328,1
-83.724916,30.811561,1
-83.725016,30.782155,1
-83.72505,30.8122,1
-83.72506,30.82511,1
-83.72514,30.83738,1
-83.72527,30.8557,1
-83.72577,30.86407,1
-83.72594,30.83993,1
-83.726115,30.850277,1
-83.72637,30.83848,1
-83.72647,30.87349,1
-83.72651,30.85907,1
-83.7271,30.780989,1
-83.72758,30.7217,1
-83.729599,30.819159,1
-83.729672,30.726074,1
-83.72991,30.848754,1
-83.730181,30.849824,1
-83.73019,30.83529,1
-83.730289,30.84538,1
-83.731257,30.848514,1
-83.731372,30.81,1
-83.731755,30.851071,1
-83.732488,30.882267,1
-83.73318,30.85177,1
-83.733258,30.849938,1
-83.733832,30.885293,1
-83.73431,30.83488,1
-83.735189,30.733151,1
-83.73596,30.86659,1
-83.7361,30.72676,1
-83.73645,30.793671,1
-83.736548,30.793869,1
-83.736715,30.85164,1
-83.73739,30.73465,1
-83.737443,30.847329,1
-83.737952,30.83488,1
-83.73799,30.83734,1
-83.738106,30.837761,1
-83.738111,30.851621,1
-83.738264,30.849004,1
-83.738624,30.842164,1
-83.739493,30.838702,1
-83.73957,30.83671,1
-83.739621,30.844058,1
-83.739897,30.849055,1
-83.74013,30.8482,1
-83.740301,30.833031,1
-83.74056,30.84974,1
-83.74084,30.87338,1
-83.74098,30.7978,1
-83.741184,30.848458,1
-83.74129,30.87181,1
-83.74186,30.84179,1
-83.742284,30.846826,1
-83.74251,30.74235,1
-83.74273,30.85161,1
-83.742933,30.871064,1
-83.74301,30.87183,1
-83.74342,30.74503,1
-83.74365,30.74334,1
-83.74374,30.87081,1
-83.74395,30.83761,1
-83.74402,30.74372,1
-83.74434,30.84819,1
-83.74451,30.83765,1
-83.74457,30.87227,1
-83.74475,30.74443,1
-83.7451,30.84646,1
-83.74553,30.87002,1
-83.74566,30.79779,1
-83.74572,30.76295,1
-83.74573,30.76241,1
-83.74573,30.76432,1
-83.74574,30.74533,1
-83.74574,30.76176,1
-83.74576,30.76644,1
-83.74589,30.83782,1
-83.746049,30.838231,1
-83.746178,30.745275,1
-83.74629,30.76537,1
-83.74648,30.87151,1
-83.74693,30.858745,1
-83.74698,30.83704,1
-83.74702,30.8462,1
-83.74707,30.74587,1
-83.74716,30.88857,1
-83.747356,30.865574,1
-83.74738,30.75528,1
-83.748159,30.858952,1
-83.748377,30.87406,1
-83.74854,30.7667,1
-83.74858,30.76322,1
-83.748628,30.794747,1
-83.74863,30.74048,1
-83.74927,30.8421,1
-83.749427,30.748074,1
-83.75017,30.83647,1
-83.75018,30.83815,1
-83.75019,30.83585,1
-83.75022,30.83761,1
-83.750269,30.903049,1
-83.750363,30.86697,1
-83.750549,30.835711,1
-83.75063,30.74479,1
-83.75076,30.75148,1
-83.75091,30.83641,1
-83.75127,30.89106,1
-83.751526,30.870096,1
-83.75197,30.74629,1
-83.75221,30.76472,1
-83.75234,30.84595,1
-83.752633,30.856377,1
-83.75278,30.78015,1
-83.75278,30.88837,1
-83.75286,30.88751,1
-83.75296,30.74987,1
-83.75315,30.75079,1
-83.75331,30.88687,1
-83.75352,30.88741,1
-83.75376,30.88813,1
-83.753854,30.887666,1
-83.754033,30.798281,1
-83.75408,30.80947,1
-83.75411,30.74739,1
-83.75413,30.74423,1
-83.754,30.752719,1
-83.75431,30.83811,1
-83.7543,30.74905,1
-83.75487,30.75329,1
-83.75489,30.75063,1
-83.75505,30.83795,1
-83.75521,30.75538,1
-83.7553,30.75241,1
-83.755723,30.904127,1
-83.755779,30.849342,1
-83.75585,30.90728,1
-83.75604,30.847331,1
-83.756086,30.904248,1
-83.75645,30.75456,1
-83.756601,30.844621,1
-83.75689,30.871489,1
-83.756919,30.848434,1
-83.758167,30.841412,1
-83.758539,30.842141,1
-83.75895,30.84615,1
-83.759196,30.841828,1
-83.75922,30.84769,1
-83.75941,30.88301,1
-83.759723,30.840841,1
-83.759726,30.83923,1
-83.759871,30.833937,1
-83.76016,30.74137,1
-83.76048,30.802864,1
-83.76049,30.83783,1
-83.76049,30.83784,1
-83.760655,30.842364,1
-83.761294,30.837645,1
-83.76152,30.85096,1
-83.76165,30.84504,1
-83.761731,30.759873,1
-83.76176,30.76077,1
-83.762345,30.811183,1
-83.762362,30.884691,1
-83.762457,30.884871,1
-83.763243,30.83611,1
